WellID	Well Number	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity	Intensity Ratio
C3	51	233411.0	39733714.0	166.52302964105812	158610.0	23368617.666666668	147.12283980415472	1.1318638891332462
A12	12	863864.3333333334	146442177.33333334	169.71124859081672	614660.0	92028673.66666667	149.89984520568726	1.1321642684683562
P9	369	333876.6666666667	56577717.666666664	169.26807687081575	249519.66666666666	37344581.333333336	149.47170019160822	1.1324423061611695
B12	36	900289.6666666666	152736400.66666666	170.12113963377502	609324.0	91295007.0	150.11054427955435	1.133305727790544
O9	345	374856.6666666667	62916012.0	168.25363552045582	285347.0	42325442.333333336	148.41319937862508	1.133683770883577
K23	263	494872.3333333333	85012687.33333333	173.290072343329	320299.0	48892583.0	152.79679701864816	1.134121105445553
M22	310	332619.3333333333	58111221.333333336	174.50712135767944	227705.33333333334	35043754.333333336	153.8500026931616	1.1342679122711254
K24	264	397646.3333333333	68568266.0	172.32868783310482	273425.6666666667	41516715.666666664	151.8416412768229	1.1349237691585006
K2	242	462730.3333333333	77890454.66666667	167.88668479016874	296827.0	43971521.333333336	147.8801673468922	1.1352887124907423
E12	108	488210.0	84818053.33333333	173.24039910430102	333516.6666666667	50797870.333333336	152.37243145185755	1.1369536959777187
K17	257	335409.0	60107348.0	178.8841821905602	273427.6666666667	43094334.333333336	157.3249649855973	1.137036211684119
D12	84	296081.0	52644300.666666664	176.52030819259733	226681.33333333334	35213773.0	155.18620304234742	1.1374742388949888
D7	79	242712.66666666666	41930763.666666664	172.65350679611097	175374.0	26558282.666666668	151.7519471950395	1.1377350339643926
O20	356	431028.6666666667	73602049.66666667	171.37907554532458	293392.6666666667	44095537.333333336	150.38479398940237	1.1396037524738152
C12	60	941655.0	160451257.0	170.4323210998629	665224.0	99443416.33333333	149.52202304359878	1.1398476132854818
J10	226	265763.0	45726663.666666664	171.7866988909085	190164.33333333334	28673059.333333332	150.60482321551868	1.1406454004801567
