WellID	Well Number	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity	Intensity Ratio
L3	267	408839.6666666667	70397089.66666667	172.1596777823165	280155.6666666667	41301668.0	147.7756294254994	1.165007237334152
G13	157	319257.3333333333	56735190.666666664	173.99228189391056	220368.66666666666	32991892.0	149.34865146533627	1.165007384979931
A13	13	477440.3333333333	83006663.33333333	174.13786315380196	352833.0	52682272.666666664	149.45430363590265	1.1651579039037434
L8	272	865702.6666666666	151249817.0	174.88839343771147	580193.0	87010543.33333333	150.08623117568735	1.1652527488213846
K3	243	412020.0	72004237.0	174.14016799798483	272901.3333333333	40689994.333333336	149.23468690944028	1.1668880178216066
K11	251	282354.3333333333	49117240.666666664	174.0108765469444	202887.0	30239344.0	149.05994674986604	1.1673885597111335
B19	43	535897.6666666666	94574111.66666667	176.16154791925547	395307.0	59571821.0	150.87741043732828	1.1675806696883213
C19	67	585284.0	103847401.33333333	176.4307217149782	431255.6666666667	65028610.666666664	151.05936871024045	1.1679561699572878
I3	195	319418.0	55675897.333333336	173.65068275833372	210040.66666666666	31146074.333333332	148.47878304486838	1.1695319640777142
G7	151	581905.6666666666	102242929.0	175.09495567507005	399377.3333333333	59571436.0	149.67246347170183	1.169854170992347
D24	96	378658.3333333333	62354264.333333336	157.731476673879	274152.3333333333	37740630.333333336	134.8117688316748	1.1700126631438357
I11	203	759382.6666666666	133332601.0	176.19037615237733	512035.0	77239019.33333333	150.57523071422023	1.170115266080997
C14	62	145442.66666666666	25022825.333333332	172.31369474993514	104078.33333333333	15289589.333333334	147.2446649442121	1.1702542487038234
I13	205	804536.3333333334	141790990.33333334	174.42516474765384	526416.0	78280302.0	149.03728696733057	1.1703458127622006
F24	144	805022.6666666666	145066986.0	180.05108271483928	525925.0	80805085.0	153.75717654447027	1.171009293753285
G12	156	229718.33333333334	40899504.0	175.92760420688728	164969.66666666666	24796942.333333332	150.21423399923583	1.1711779870859793
N12	324	471650.0	82081251.33333333	173.6482362026327	329133.6666666667	48899108.666666664	148.22317828696666	1.1715322678241455
M12	300	660576.3333333334	116782349.33333333	177.9518884976586	431279.6666666667	65434802.333333336	151.8750402628691	1.1716993667271134
F6	126	706239.0	122283399.66666667	172.5769352857218	463391.0	68678555.66666667	147.27611396679586	1.1717917497784476
P13	373	456206.0	79716035.0	174.66782729789497	326441.3333333333	48624680.0	149.04207052409694	1.1719363981168986
J12	228	661557.6666666666	114775807.66666667	171.59119346287608	429529.3333333333	63528166.0	146.38566175732947	1.1721857960879463
O15	351	514212.0	90365619.33333333	174.80359467645727	343705.3333333333	51346989.0	149.1189532699885	1.1722426347773862
N15	327	401227.6666666667	69724281.66666667	173.45386353458176	266542.0	39480590.666666664	147.93391144284763	1.1725091417027356
I23	215	308094.3333333333	55811223.0	180.78874516465385	213894.33333333334	32968034.0	154.17265157190909	1.1726382294224893
O4	340	445657.3333333333	77715796.33333333	174.5503940737024	300506.0	44625950.666666664	148.69796634333963	1.1738586502970068
