	Well ID	Well Number	Position	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity
24 - 2	24	288	2	600023	99025174	165.03563030083848	405570	61409802	151.41603668910423
24 - 3	24	288	3	473688	82262099	173.6630419178869	327527	49485751	151.08907357256044
M1 - 1	M1	289	1	235913	38738764	164.20783933060068	163531	24277943	148.46079948144387
M1 - 2	M1	289	2	367457	60692918	165.17012330694476	255131	37690764	147.73102445410396
M1 - 3	M1	289	3	1106841	187601731	169.4929362031222	700940	104870100	149.6135189887865
M2 - 1	M2	290	1	189643	31019242	163.5665012681723	124576	18347952	147.28320061649114
M2 - 2	M2	290	2	298663	49281678	165.00764406705886	197714	29071625	147.03877823522868
M2 - 3	M2	290	3	731455	125032676	170.93693528651798	466563	68939148	147.75956944721293
M3 - 1	M3	291	1	180541	30799294	170.5944577685955	124504	18451886	148.20315813146564
M3 - 2	M3	291	2	231523	39211887	169.36497453816685	153756	22702813	147.6548102187882
M3 - 3	M3	291	3	569424	98961218	173.79179311023069	379833	56335970	148.3177343727375
M4 - 1	M4	292	1	395195	69126636	174.91778995179595	268382	39528789	147.2855444850996
M4 - 2	M4	292	2	207022	35968809	173.74389678391668	140915	20780422	147.46777844800056
M4 - 3	M4	292	3	255820	44373776	173.4570244703307	175150	26011618	148.5105224093634
M5 - 1	M5	293	1	286444	51550231	179.96617488933265	200788	29968109	149.25249018865668
M5 - 2	M5	293	2	440738	79985812	181.48154232219596	292929	43582093	148.78039729763867
M5 - 3	M5	293	3	541153	95112263	175.75854333247713	370987	55104794	148.53564680163996
M6 - 1	M6	294	1	191418	32986773	172.32848008024322	137116	20174721	147.1361547886461
M6 - 2	M6	294	2	361540	63559316	175.80161531227526	255733	37406675	146.27238174189486
M6 - 3	M6	294	3	760882	132364159	173.96148022952312	519624	76512988	147.24683232491185
M7 - 1	M7	295	1	1131714	197775557	174.75754209985917	724614	109253157	150.77428396359994
M7 - 2	M7	295	2	361286	64036305	177.24546481181113	252387	37654754	149.19450684860948
M7 - 3	M7	295	3	222283	39004640	175.47288816508686	154985	23128534	149.23079007645902
M8 - 1	M8	296	1	350754	62447905	178.0390387565074	250520	37919615	151.3636236627814
M8 - 2	M8	296	2	377582	66920438	177.2341848922883	267541	40506639	151.40348208311997
M8 - 3	M8	296	3	1160740	198995195	171.43821613798093	718269	108610900	151.21201109890583
M9 - 1	M9	297	1	261124	45140990	172.8718539850799	189324	28590633	151.01430880395512
M9 - 2	M9	297	2	230664	40277044	174.61348108070612	168181	25207634	149.883958354392
M9 - 3	M9	297	3	288981	49896691	172.66426166426166	204533	30437129	148.81280282399416
10 - 1	10	298	1	326232	60190041	184.5007264768631	238608	36813532	154.28456715617247
10 - 2	10	298	2	211380	38821234	183.65613586905098	157441	24272928	154.17158173538024
10 - 3	10	298	3	257669	47311936	183.61516519255323	196816	30693962	155.95257499390294
11 - 1	11	299	1	809352	127903540	158.0320305627218	538711	74472064	138.24121653354024
11 - 2	11	299	2	349148	62458162	178.88735435975576	239922	35594972	148.3606005285051
11 - 3	11	299	3	1133064	187564180	165.53714529805907	696154	101016783	145.10694903713832
12 - 1	12	300	1	688442	122797298	178.36985250754603	468269	70997652	151.61723710089714
