	Well ID	Well Number	Position	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity
18 - 3	18	114	3	508430	89909689	176.8378911551246	390503	60734586	155.52911501320094
19 - 1	19	115	1	328831	60070469	182.67885023005738	248394	37378102	150.47908564619112
19 - 2	19	115	2	454798	81769087	179.7920989098457	345432	52867125	153.0464027652331
19 - 3	19	115	3	423756	78753477	185.84628182255827	323808	49562680	153.06193793853149
20 - 1	20	116	1	580	60479	104.27413793103449	81	8317	102.67901234567901
20 - 2	20	116	2	1587	198908	125.33585381222433	537	71996	134.0707635009311
20 - 3	20	116	3	2665	425779	159.76697936210132	2067	275698	133.3807450411224
21 - 1	21	117	1	7403	1149265	155.24314467107928	4754	667951	140.50294488851495
21 - 2	21	117	2	2628	341264	129.85692541856926	1135	152216	134.11101321585903
21 - 3	21	117	3	2384	470828	197.49496644295303	1660	240916	145.13012048192772
22 - 1	22	118	1	523274	96926303	185.23049683339895	368328	55096716	149.5860102951717
22 - 2	22	118	2	975279	178341019	182.8615391082962	652783	97250948	148.97898382770384
22 - 3	22	118	3	322583	60446354	187.3823295089946	232602	34507996	148.35640278243523
23 - 1	23	119	1	747444	136347833	182.41879391633353	502263	75704845	150.72749734700744
23 - 2	23	119	2	1048012	189009132	180.35016011267047	633411	98252092	155.11586000243128
23 - 3	23	119	3	500116	91047065	182.05189396060115	357791	54021269	150.98554463359895
24 - 1	24	120	1	441959	82226499	186.0500612047724	306878	45886992	149.52845104569244
24 - 2	24	120	2	427683	77754695	181.80450240014216	297239	43995376	148.01347064147032
24 - 3	24	120	3	639243	116619644	182.4339789407158	441595	65039452	147.2830353604547
F1 - 1	F1	121	1	815127	130354626	159.91940642378427	520025	76899435	147.8764194029133
F1 - 2	F1	121	2	157474	23622920	150.0115574634543	104141	15354991	147.4442438616875
F1 - 3	F1	121	3	1049548	168943280	160.96765464752445	654558	96652209	147.6602669282172
F2 - 1	F2	122	1	120265	19289408	160.39087016172618	80068	11922246	148.90150871759005
F2 - 2	F2	122	2	329898	54276015	164.5236254842406	212287	31277286	147.33490981548564
F2 - 3	F2	122	3	228870	36715471	160.42063616900424	150134	22007585	146.58628292059095
F3 - 1	F3	123	1	534596	91173892	170.54727682212362	346105	51285177	148.17808757457996
F3 - 2	F3	123	2	138389	23418515	169.22237316549726	94129	13888707	147.54971369078604
F3 - 3	F3	123	3	85380	14428886	168.996088076833	60109	8645633	143.83258746610323
F4 - 1	F4	124	1	1842	321075	174.30781758957656	1224	170869	139.5988562091503
F4 - 2	F4	124	2	3049	414051	135.79895047556576	1598	217932	136.377972465582
F5 - 1	F5	125	1	166979	30309228	181.51520849927238	120558	17940679	148.81367474576552
F5 - 2	F5	125	2	305748	54510597	178.28602967149416	212456	31257409	147.12415276574913
F5 - 3	F5	125	3	142721	25373211	177.78190315370549	101483	14915535	146.9757003636077
F6 - 1	F6	126	1	135989	23235616	170.8639375243586	97305	14108003	144.9874415497662
F6 - 2	F6	126	2	1133823	195621115	172.53232206437866	710122	105617472	148.73144614587352
F6 - 3	F6	126	3	848905	147993468	174.33454626842814	582746	86310192	148.10945420474786
F7 - 1	F7	127	1	87090	15444710	177.34194511424963	60518	9245764	152.77709111338774
F7 - 2	F7	127	2	230723	40782151	176.75806486566142	161523	24099969	149.20456529410671
F7 - 3	F7	127	3	157878	27421023	173.68488959829742	115468	17527848	151.79831641666956
F8 - 1	F8	128	1	124925	21357742	170.9645147088253	92003	14333665	155.79562622957948
F8 - 2	F8	128	2	164948	27974339	169.59489657346558	122107	18678953	152.97200815678053
F8 - 3	F8	128	3	390808	63943935	163.61982098626436	288600	44184048	153.09787941787943
F9 - 1	F9	129	1	420874	70475075	167.44934350898367	316646	48461675	153.0468567422295
F9 - 2	F9	129	2	156757	27279044	174.0212175532831	112779	17019034	150.90605520531304
F9 - 3	F9	129	3	308626	51388922	166.50872577164594	234746	35959401	153.18429707002463
10 - 1	10	130	1	184539	30528106	165.42902042386703	140002	21227742	151.6245625062499
10 - 2	10	130	2	717202	126354384	176.1768427862722	500674	75111562	150.0208958324179
10 - 3	10	130	3	490612	82813070	168.79544324231776	349525	52949170	151.48893498319148
11 - 1	11	131	1	77723	13046904	167.86413288215843	56685	8580031	151.36334127194144
11 - 2	11	131	2	972356	163801167	168.45802051923368	682405	101540909	148.7986005378038
11 - 3	11	131	3	107947	17349782	160.7250039371173	84390	12828002	152.00855551605642
12 - 1	12	132	1	207913	35401850	170.27242163789663	148344	22373471	150.82154316992936
12 - 2	12	132	2	1029926	179308057	174.09800024467776	692161	103567569	149.62930445373257
12 - 3	12	132	3	217035	37803067	174.17958854562627	155735	23305172	149.64633512055735
13 - 1	13	133	1	167727	29139620	173.73243425328062	118364	17902704	151.25125882869793
13 - 2	13	133	2	153349	28018214	182.70881453416717	104528	15399574	147.324869891321
13 - 3	13	133	3	167377	29317639	175.15930504191138	121535	18477495	152.0343522442095
14 - 1	14	134	1	125226	22108992	176.55272866657083	86432	12881150	149.03218715290632
14 - 2	14	134	2	863449	156260831	180.97285537420277	556619	83664984	150.30924923511415
14 - 3	14	134	3	111664	20369315	182.41613232554806	75505	11197765	148.30494669227204
15 - 1	15	135	1	334589	59616852	178.17935437208038	226322	33203964	146.71116374015782
15 - 2	15	135	2	145321	25498943	175.4663331521253	100164	14627840	146.03889621021526
15 - 3	15	135	3	94834	16527000	174.27294008477972	65419	9469461	144.7509286292973
16 - 1	16	136	1	180911	31847038	176.03704584021978	118893	17893951	150.50466385741802
16 - 2	16	136	2	70407	12471641	177.13637848509381	49933	7245886	145.112170308213
16 - 3	16	136	3	116364	20190556	173.51204839984874	78243	11645325	148.83535907365516
17 - 1	17	137	1	352992	59241798	167.827593826489	280841	44515694	158.50852973746711
17 - 2	17	137	2	392561	61133233	155.7292573638237	319620	49490502	154.84169326074715
17 - 3	17	137	3	384473	62789960	163.31435497421145	304820	47270672	155.07733088380027
18 - 1	18	138	1	689218	122890150	178.30374424347593	519232	80556601	155.14567861765067
18 - 2	18	138	2	421510	74467524	176.6684633816517	321625	50025446	155.53918526487286
18 - 3	18	138	3	377524	66459433	176.04028618048125	294950	45531151	154.36904899135448
19 - 1	19	139	1	2688	476529	177.28013392857142	2125	301869	142.056
19 - 2	19	139	2	605	62145	102.71900826446281	96	9823	102.32291666666667
19 - 3	19	139	3	4966	743092	149.63592428513894	2554	355546	139.21143304620205
20 - 1	20	140	1	536027	101252697	188.89477022612667	374012	57375669	153.40595756285896
20 - 2	20	140	2	845713	158276619	187.15169212250493	555228	85124334	153.31419524951912
