ORF	Gene	Total Intensity 488nm	Mean Intensity 488nm	Total Intensity 561nm	Mean Intensity 561nm	Cell Count
YNL206C	RTT106	260089.85374023233	239.24067135691658	171839.91912882787	159.2819421066526	1894
YER174C	GRX4	270893.50498645834	239.24490776562502	181976.363621875	160.22884059895833	1920
YLR386W	VAC14	268333.68887814565	239.26506035099337	147946.03306490066	129.59590752317882	1510
YKL013C	ARC19	225262.2375052431	239.26866839132506	124204.47076358437	132.29564413250716	4196
YHR120W	MSH1	252874.63380655227	239.27048060842432	129510.00820488819	122.75467180447218	1923
YPR178W	PRP4	259783.46566445014	239.27118602557545	137498.93355498722	126.35141935038364	1955
YER060W	FCY21	268594.14166433207	239.27833651361865	156422.20104747082	136.8754483216602	3855
YAL027W	SAW1	267986.58508150064	239.29462190168178	126862.69292712376	114.35419055627426	2319
YIR024C	INA22	251331.85172171157	239.30173300475434	237894.66738256736	228.6855626687797	3155
YOR293C-A	YOR293C-A	276925.49884821865	239.30216245973645	119293.32697803807	103.50789585163496	2049
YOL102C	TPT1	227465.99180023067	239.3070984636678	150588.00863114186	158.24386737254903	4335
YJR138W	IML1	254814.499180593	239.32536450673854	120477.32130026954	113.11864509973046	1855
YGL041W-A	YGL041W-A	258513.2690281868	239.33206170803533	360922.0860201935	337.5784995498528	2377
YLR115W	CFT2	245841.42269984764	239.35215373793804	115946.48348603352	112.43543578466227	1969
YBR014C	GRX7	253155.6492393236	239.35696180567496	197758.8559271998	184.10323781599314	3489
YBL034C	STU1	306748.91626564105	239.3583917948718	164573.65880205127	127.44182023589744	1950
YMR270C	RRN9	276535.4804561279	239.35990222380107	126646.07349342806	110.49755641563056	2815
YDL120W	YFH1	228022.47688373103	239.36939079175707	242719.34963383948	255.3652576616052	4610
YKL052C	ASK1	267208.5135292144	239.38176863013697	129054.01230975678	116.31034277047806	3577
YGR007W	ECT1	237579.01543908048	239.39162913793103	164030.3859873563	163.124592454023	1740
YPL078C	ATP4	245619.21659246954	239.3943057253599	383232.28453377634	349.76195791805094	1806
YJR051W	OSM1	257456.48470342427	239.3950399767847	299349.02926523506	282.5337204236796	1723
YHR203C	RPS4B	277837.1940459619	239.39555919238344	171672.39663821406	147.09266925804332	1523
YMR024W	MRPL3	224563.26701308505	239.40412741066936	176482.30926421742	190.0191435933568	3974
YAL044W-A	YAL044W-A	262370.50667295256	239.41026573006465	268333.06976724137	242.07765758081896	3712
YER087C-B	SBH1	266633.29514606745	239.41496818306385	287975.9624291587	260.9334615182242	3649
YBR208C	DUR1,2	222473.2288954984	239.41724781886387	139806.00046355842	149.92879499196144	3732
YCR088W	ABP1	266009.92067592096	239.43026498665242	121923.54410891618	110.12137025093432	1873
YNL314W	DAL82	221549.33103372288	239.4304572554257	125720.87156193657	136.3032883405676	2995
YBR098W	MMS4	236430.69593154034	239.44257657003143	103025.58956479219	103.95193149493538	2863
YBL006C	LDB7	263801.98624827585	239.44896872413796	120186.12368534482	109.98064506465516	2320
YLR053C	YLR053C	234617.63838495358	239.44937338544213	113514.52856472887	116.62168967269174	2047
YCL026C-B	HBN1	228256.94787870307	239.44973468392817	414805.25049871707	438.1192594868206	4287
YIL099W	SGA1	243713.3740896638	239.4505209215442	115404.62098962224	112.43091523868826	2409
YKL120W	OAC1	254352.06869098337	239.45571889407645	135973.27406186168	129.08818146192004	3427
YIL013C	PDR11	284227.68904226384	239.46579787945606	151641.3553869901	124.98487277104006	2721
YGL227W	VID30	269164.9776132284	239.47025543622047	122620.48254551181	109.79290071811023	3175
YNL021W	HDA1	263167.02406887914	239.4935726643707	155479.13120851596	142.15500614902945	3194
YKL188C	PXA2	238977.50952213394	239.51135620885358	108618.043699773	108.8965123013621	3524
YPR158W	CUR1	213841.00025722355	239.53092268737782	116922.41147642842	132.1163134803389	4603
YHR164C	DNA2	260577.83391338977	239.53743210552514	126758.34293777999	115.9134005724241	2009
YDL159W	STE7	222450.9079238039	239.53989590667453	110829.12639810987	118.10297884524513	3386
YNL331C	AAD14	238157.59155	239.54906353125003	198708.22140892857	196.57703728571428	2240
YFL001W	DEG1	253517.39281237114	239.55483765292095	135197.47146735396	127.83058163917526	2910
YNL080C	EOS1	261392.35355761976	239.56421426415093	133230.6816075472	124.00833643251089	3445
YER090W	TRP2	231638.42800088067	239.58404968295903	204787.1060748569	208.7105029326288	2271
YBR149W	ARA1	265926.353978639	239.58438732377175	264346.00053158373	235.0805559566677	3277
YGR210C	YGR210C	280049.86932414497	239.59072812149054	213335.6661020929	180.45794646248086	1959
YER038C	KRE29	229053.5828087848	239.60086706881404	100493.26531068815	104.17776059443631	3415
YER001W	MNN1	250531.2511232075	239.61923079309335	154462.49833596722	147.34614990049752	3417
YKL024C	URA6	232687.48680418535	239.63029830842052	254294.44061484805	262.3448453089188	4014
YHR192W	LNP1	239727.29867933088	239.63567691239012	161030.5155202722	162.18832733768073	3527
YDR188W	CCT6	276612.1656165605	239.63794167515923	179144.11337579618	154.23122201910826	1570
YOL142W	RRP40	275778.50079038227	239.64289016029593	144150.23511837237	125.22333332922318	1622
YFL027C	GYP8	259979.62657625973	239.64432036861683	133197.55021373014	124.1616271795739	2957
